J, Jp,  transition energy (au), line strength (au), the level inverse lifetime (au), transition energy (nm) ,linewidth (Hz)
8.0,7.0,0.47516209,0.001689,0.0,96.0,0.0
8.0,7.0,0.47644288,1.85e-5,0.0,96.0,0.0
8.0,7.0,0.48223625,5.006e-7,0.0,94.0,0.0
8.0,7.0,0.48251281,1.256e-5,0.0,94.0,0.0
8.0,7.0,0.48713293,3.674e-5,0.0,94.0,0.0
8.0,7.0,0.4907748,0.004904,0.0,93.0,0.0
8.0,7.0,0.50342044,6.064e-6,0.0,90.0,0.0
8.0,7.0,0.52107393,8.887e-8,0.0,87.0,0.0
8.0,7.0,0.52826791,3.167e-5,0.0,86.0,0.0
8.0,7.0,0.52871717,1.686e-6,0.0,86.0,0.0
8.0,7.0,0.54126028,1.294e-6,0.0,84.0,0.0
8.0,7.0,0.5770115,6.322e-5,0.0,79.0,0.0
8.0,7.0,0.59722975,5.18e-5,0.0,76.0,0.0
8.0,7.0,0.60943889,0.0007029,0.0,75.0,0.0
8.0,7.0,0.62543889,8.829e-5,0.0,73.0,0.0
8.0,8.0,0.034471398,5.998e-7,7.684e-19,1321.0,0.0
8.0,8.0,0.054708372,0.008859,4.451e-14,833.0,293.0
8.0,8.0,0.066639207,0.4884,4.494e-12,684.0,29568.0
8.0,8.0,0.070930083,0.4112,4.508e-12,642.0,29660.0
8.0,8.0,0.07421679,0.0002758,3.49e-15,614.0,23.0
8.0,8.0,0.076241941,1.741,2.359e-11,597.0,155208.0
8.0,8.0,0.082113635,0.1482,2.519e-12,555.0,16573.0
8.0,8.0,0.086990773,0.05596,1.144e-12,524.0,7527.0
8.0,8.0,0.089707712,0.3292,7.65e-12,508.0,50332.0
8.0,8.0,0.092681718,0.002682,2.788e-11,491.0,183433.0
8.0,8.0,0.099779929,0.136,6.887e-12,457.0,45312.0
8.0,8.0,0.10879481,132.4,5.203e-9,419.0,3.4232544e7
8.0,8.0,0.11390628,0.1158,1.623e-11,400.0,106783.0
8.0,8.0,0.12674792,0.06233,5.009e-9,359.0,3.2956143e7
8.0,8.0,0.14422964,2.045,1.922e-10,316.0,1.264558e6
8.0,8.0,0.15376922,0.000352,1.508e-11,296.0,99217.0
8.0,8.0,0.1586249,0.02991,8.989e-12,287.0,59142.0
8.0,8.0,0.16153093,0.1539,1.025e-10,282.0,674387.0
8.0,8.0,0.1618485,0.004501,5.991e-11,281.0,394171.0
8.0,8.0,0.16536508,1.712,2.529e-10,275.0,1.663927e6
8.0,8.0,0.16708737,3.911,5.682e-10,273.0,3.738407e6
8.0,8.0,0.1683112,0.0009572,1.013e-11,271.0,66649.0
8.0,8.0,0.16899829,0.003547,3.015e-12,270.0,19837.0
8.0,8.0,0.16980613,0.07018,4.812e-11,268.0,316600.0
8.0,8.0,0.17159403,0.5558,3.648e-10,265.0,2.40016e6
8.0,8.0,0.17364666,1.114,2.301e-10,262.0,1.513917e6
8.0,8.0,0.1757854,9.836,1.943e-9,259.0,1.2783746e7
8.0,8.0,0.17988245,0.04627,4.647e-11,253.0,305744.0
8.0,8.0,0.18023328,0.4948,2.823e-10,253.0,1.857361e6
8.0,8.0,0.18279941,0.0243,1.912e-10,249.0,1.257979e6
8.0,8.0,0.18671876,4.818e-5,1.121e-11,244.0,73755.0
8.0,8.0,0.18697346,0.002739,6.848e-11,244.0,450556.0
8.0,8.0,0.18858594,0.4018,1.49e-10,242.0,980328.0
8.0,8.0,0.18962296,0.2115,6.829e-10,240.0,4.493063e6
8.0,8.0,0.19121358,0.0004367,1.334e-11,238.0,87769.0
8.0,8.0,0.19167149,0.0177,2.519e-10,238.0,1.657347e6
8.0,8.0,0.19327987,0.01969,6.251e-11,236.0,411277.0
8.0,8.0,0.19436929,1.603,1.8e-9,234.0,1.1842894e7
8.0,8.0,0.19686342,0.002809,6.637e-10,231.0,4.366738e6
8.0,8.0,0.19759107,0.07646,1.663e-9,231.0,1.0941518e7
8.0,8.0,0.19972298,0.3285,1.961e-10,228.0,1.290218e6
8.0,8.0,0.20084383,0.007971,1.277e-10,227.0,840188.0
8.0,8.0,0.20100057,0.02119,6.197e-10,227.0,4.077245e6
8.0,8.0,0.20230049,1.503e-5,1.59e-11,225.0,104612.0
8.0,8.0,0.20349744,0.004096,5.227e-10,224.0,3.439045e6
8.0,8.0,0.20389247,0.009366,1.189e-9,223.0,7.82289e6
8.0,8.0,0.20522383,0.02311,2.764e-10,222.0,1.818542e6
8.0,8.0,0.20819501,0.1098,2.666e-10,219.0,1.754064e6
8.0,8.0,0.20986992,0.02542,1.548e-10,217.0,1.018489e6
8.0,8.0,0.20997335,0.004477,1.124e-10,217.0,739523.0
8.0,8.0,0.211887,0.1554,6.114e-10,215.0,4.022636e6
8.0,8.0,0.2120246,0.1455,4.438e-10,215.0,2.919931e6
8.0,8.0,0.21307985,0.12,2.234e-9,214.0,1.4698348e7
8.0,8.0,0.21486502,0.0015,1.234e-9,212.0,8.118962e6
8.0,8.0,0.21582504,0.01289,1.681e-10,211.0,1.105995e6
8.0,8.0,0.21658458,0.00315,2.813e-10,210.0,1.850781e6
8.0,8.0,0.21880852,0.001445,1.137e-10,208.0,748076.0
8.0,8.0,0.21961818,2.376e-5,4.612e-12,207.0,30344.0
8.0,8.0,0.2199836,0.0003056,1.038e-11,207.0,68294.0
8.0,8.0,0.22108532,0.001289,2.201e-10,206.0,1.448123e6
8.0,8.0,0.22164757,8.391e-5,3.886e-11,206.0,255675.0
8.0,8.0,0.22255245,1.57e-6,1.25e-11,205.0,82242.0
8.0,8.0,0.22397312,0.000749,3.867e-10,203.0,2.544248e6
8.0,8.0,0.22641941,0.002282,2.873e-9,201.0,1.8902575e7
8.0,8.0,0.22695888,7.9e-8,1.012e-10,201.0,665834.0
8.0,8.0,0.22745552,0.000845,7.646e-11,200.0,503060.0
8.0,8.0,0.22801094,0.001263,0.0,200.0,0.0
8.0,8.0,0.2304144,3.635e-5,0.0,198.0,0.0
8.0,8.0,0.23179679,0.001062,0.0,197.0,0.0
8.0,8.0,0.2339779,0.004763,0.0,195.0,0.0
8.0,8.0,0.23425584,0.0001126,0.0,194.0,0.0
8.0,8.0,0.23512655,0.001055,0.0,194.0,0.0
8.0,8.0,0.2352555,0.00138,0.0,194.0,0.0
8.0,8.0,0.23646839,0.04734,0.0,193.0,0.0
8.0,8.0,0.23858891,4.404e-5,0.0,191.0,0.0
8.0,8.0,0.24030619,0.1074,0.0,190.0,0.0
8.0,8.0,0.24075863,5.02e-5,0.0,189.0,0.0
8.0,8.0,0.24234788,0.0004408,0.0,188.0,0.0
8.0,8.0,0.24287094,0.02485,0.0,188.0,0.0
8.0,8.0,0.24446338,0.05038,0.0,186.0,0.0
8.0,8.0,0.24489669,0.01262,0.0,186.0,0.0
8.0,8.0,0.2472719,0.007444,0.0,184.0,0.0
8.0,8.0,0.24805741,0.04285,0.0,184.0,0.0
8.0,8.0,0.24947625,0.005694,0.0,183.0,0.0
8.0,8.0,0.25332498,0.001789,0.0,180.0,0.0
8.0,8.0,0.25460121,8.426e-8,0.0,179.0,0.0
8.0,8.0,0.25582823,0.001297,0.0,178.0,0.0
8.0,8.0,0.25710126,1.116e-5,0.0,177.0,0.0
8.0,8.0,0.25740563,7.752e-8,0.0,177.0,0.0
8.0,8.0,0.25852466,0.001253,0.0,176.0,0.0
8.0,8.0,0.25965919,0.00648,0.0,175.0,0.0
8.0,8.0,0.26138057,0.0003128,0.0,174.0,0.0
8.0,8.0,0.26287778,0.005901,0.0,173.0,0.0
8.0,8.0,0.2640401,0.0001302,0.0,173.0,0.0
8.0,8.0,0.26471671,3.247e-6,0.0,172.0,0.0
8.0,8.0,0.26526438,1.431e-8,0.0,172.0,0.0
8.0,8.0,0.26561613,6.598e-5,0.0,171.0,0.0
8.0,8.0,0.26948992,0.0006551,0.0,169.0,0.0
8.0,8.0,0.2715872,7.082e-6,0.0,168.0,0.0
8.0,8.0,0.27253036,0.0007884,0.0,167.0,0.0
8.0,8.0,0.2743743,0.02337,0.0,166.0,0.0
8.0,8.0,0.27476432,0.01923,0.0,166.0,0.0
8.0,8.0,0.27670714,0.0002074,0.0,165.0,0.0
8.0,8.0,0.27823533,0.001461,0.0,164.0,0.0
8.0,8.0,0.2793931,7.486e-6,0.0,163.0,0.0
8.0,8.0,0.27995307,0.004128,0.0,163.0,0.0
8.0,8.0,0.28203486,0.008243,0.0,162.0,0.0
8.0,8.0,0.28230641,0.008711,0.0,161.0,0.0
8.0,8.0,0.28413396,0.007146,0.0,160.0,0.0
8.0,8.0,0.28550632,0.001663,0.0,160.0,0.0
8.0,8.0,0.28622075,0.0001005,0.0,159.0,0.0
8.0,8.0,0.28696617,0.002597,0.0,159.0,0.0
8.0,8.0,0.28878597,0.04891,0.0,158.0,0.0
8.0,8.0,0.29023898,0.5226,0.0,157.0,0.0
8.0,8.0,0.29225515,0.0002852,0.0,156.0,0.0
8.0,8.0,0.29323112,0.0244,0.0,155.0,0.0
8.0,8.0,0.29366397,0.0001082,0.0,155.0,0.0
8.0,8.0,0.2954054,0.003563,0.0,154.0,0.0
8.0,8.0,0.29656726,0.01988,0.0,154.0,0.0
8.0,8.0,0.29794282,0.0004156,0.0,153.0,0.0
8.0,8.0,0.29827224,0.019,0.0,153.0,0.0
8.0,8.0,0.29997494,0.0003627,0.0,152.0,0.0
8.0,8.0,0.30102517,0.0006135,0.0,151.0,0.0
8.0,8.0,0.30344367,0.02892,0.0,150.0,0.0
8.0,8.0,0.30487709,0.00238,0.0,149.0,0.0
8.0,8.0,0.30548217,0.004036,0.0,149.0,0.0
8.0,8.0,0.30800547,0.001479,0.0,148.0,0.0
8.0,8.0,0.30829571,0.0009348,0.0,148.0,0.0
8.0,8.0,0.30891582,5.326e-5,0.0,147.0,0.0
8.0,8.0,0.30923704,0.005647,0.0,147.0,0.0
8.0,8.0,0.31079576,0.008588,0.0,147.0,0.0
8.0,8.0,0.31246702,0.0001073,0.0,146.0,0.0
8.0,8.0,0.31322064,3.538e-5,0.0,145.0,0.0
8.0,8.0,0.31432464,0.0001431,0.0,145.0,0.0
8.0,8.0,0.3159353,0.00113,0.0,144.0,0.0
8.0,8.0,0.3177756,0.002401,0.0,143.0,0.0
